"TOA5","Buchillon","CR6","2688","CR6.Std.03","CPU:buchillon_v2_1.CR6","10245","KT1585"
"TIMESTAMP","RECORD","WaterTemp0mKT15a","WaterTemp0mKT15n"
"TS","RN","Deg C","Deg C"
"","","Smp","Smp"
"2016-11-01 00:00:00",22324,12.96,13
"2016-11-01 00:05:00",22325,12.63,12.67
"2016-11-01 00:10:00",22326,13.04,13.08
"2016-11-01 00:15:00",22327,12.81,12.84
"2016-11-01 00:20:00",22328,12.7,12.73
"2016-11-01 00:25:00",22329,12.85,12.88
"2016-11-01 00:30:00",22330,12.89,12.93
"2016-11-01 00:35:00",22331,12.79,12.83
"2016-11-01 00:40:00",22332,12.77,12.8
"2016-11-01 00:45:00",22333,12.98,13.02
"2016-11-01 00:50:00",22334,12.84,12.88
"2016-11-01 00:55:00",22335,12.86,12.89
"2016-11-01 01:00:00",22336,12.94,12.98
"2016-11-01 01:05:00",22337,12.77,12.82
"2016-11-01 01:10:00",22338,12.84,12.89
"2016-11-01 01:15:00",22339,12.78,12.83
"2016-11-01 01:20:00",22340,12.71,12.75
"2016-11-01 01:25:00",22341,12.8,12.84
"2016-11-01 01:30:00",22342,13.08,13.12
"2016-11-01 01:35:00",22343,13.02,13.07
"2016-11-01 01:40:00",22344,13.07,13.11
"2016-11-01 01:45:00",22345,12.67,12.7
"2016-11-01 01:50:00",22346,12.63,12.66
"2016-11-01 01:55:00",22347,12.63,12.67
"2016-11-01 02:00:00",22348,12.61,12.65
"2016-11-01 02:05:00",22349,12.92,12.96
"2016-11-01 02:10:00",22350,13.06,13.1
"2016-11-01 02:15:00",22351,12.76,12.79
"2016-11-01 02:20:00",22352,12.94,12.98
"2016-11-01 02:25:00",22353,12.77,12.8
"2016-11-01 02:30:00",22354,12.92,12.95
"2016-11-01 02:35:00",22355,12.94,12.97
"2016-11-01 02:40:00",22356,12.93,12.97
"2016-11-01 02:45:00",22357,12.79,12.82
"2016-11-01 02:50:00",22358,12.88,12.93
"2016-11-01 02:55:00",22359,12.91,12.95
"2016-11-01 03:00:00",22360,13,13.05
"2016-11-01 03:05:00",22361,12.91,12.94
"2016-11-01 03:10:00",22362,13.12,13.16
"2016-11-01 03:15:00",22363,13.03,13.07
"2016-11-01 03:20:00",22364,12.82,12.85
"2016-11-01 03:25:00",22365,12.95,12.99
"2016-11-01 03:30:00",22366,12.55,12.6
"2016-11-01 03:35:00",22367,12.96,12.99
"2016-11-01 03:40:00",22368,12.76,12.81
"2016-11-01 03:45:00",22369,12.78,12.81
"2016-11-01 03:50:00",22370,12.89,12.93
"2016-11-01 03:55:00",22371,12.63,12.67
"2016-11-01 04:00:00",22372,12.86,12.9
"2016-11-01 04:05:00",22373,12.83,12.86
"2016-11-01 04:10:00",22374,12.92,12.95
"2016-11-01 04:15:00",22375,12.81,12.85
"2016-11-01 04:20:00",22376,12.97,13.01
"2016-11-01 04:25:00",22377,13.01,13.05
"2016-11-01 04:30:00",22378,12.64,12.69
"2016-11-01 04:35:00",22379,13.11,13.15
"2016-11-01 04:40:00",22380,13.09,13.13
"2016-11-01 04:45:00",22381,12.62,12.66
"2016-11-01 04:50:00",22382,12.67,12.71
"2016-11-01 04:55:00",22383,12.88,12.92
"2016-11-01 05:00:00",22384,12.6,12.64
"2016-11-01 05:05:00",22385,12.74,12.77
"2016-11-01 05:10:00",22386,12.86,12.9
"2016-11-01 05:15:00",22387,12.91,12.95
"2016-11-01 05:20:00",22388,13.05,13.1
"2016-11-01 05:25:00",22389,12.93,12.97
"2016-11-01 05:30:00",22390,13.3,13.33
"2016-11-01 05:35:00",22391,12.9,12.94
"2016-11-01 05:40:00",22392,13.02,13.06
"2016-11-01 05:45:00",22393,13.11,13.14
"2016-11-01 05:50:00",22394,13.01,13.05
"2016-11-01 05:55:00",22395,13.01,13.05
"2016-11-01 06:00:00",22396,12.82,12.86
"2016-11-01 06:05:00",22397,13.23,13.26
"2016-11-01 06:10:00",22398,13.19,13.24
"2016-11-01 06:15:00",22399,12.76,12.79
"2016-11-01 06:20:00",22400,13.03,13.06
"2016-11-01 06:25:00",22401,13.06,13.1
"2016-11-01 06:30:00",22402,12.75,12.79
"2016-11-01 06:35:00",22403,13.07,13.12
"2016-11-01 06:40:00",22404,13.08,13.12
"2016-11-01 06:45:00",22405,13.02,13.06
"2016-11-01 06:50:00",22406,12.79,12.83
"2016-11-01 06:55:00",22407,13,13.03
"2016-11-01 07:00:00",22408,12.57,12.62
"2016-11-01 07:05:00",22409,12.7,12.73
"2016-11-01 07:10:00",22410,13.04,13.07
"2016-11-01 07:15:00",22411,13.13,13.17
"2016-11-01 07:20:00",22412,13.16,13.19
"2016-11-01 07:25:00",22413,12.89,12.92
"2016-11-01 07:30:00",22414,12.88,12.93
"2016-11-01 07:35:00",22415,13.13,13.17
"2016-11-01 07:40:00",22416,12.79,12.83
"2016-11-01 07:45:00",22417,12.67,12.7
"2016-11-01 07:50:00",22418,12.59,12.63
"2016-11-01 07:55:00",22419,12.33,12.38
"2016-11-01 08:00:00",22420,12.53,12.57
"2016-11-01 08:05:00",22421,12.55,12.59
"2016-11-01 08:10:00",22422,12.34,12.37
"2016-11-01 08:15:00",22423,12.74,12.78
"2016-11-01 08:20:00",22424,12.64,12.68
"2016-11-01 08:25:00",22425,12.71,12.76
"2016-11-01 08:30:00",22426,12.95,12.97
"2016-11-01 08:35:00",22427,12.83,12.87
"2016-11-01 08:40:00",22428,12.78,12.8
"2016-11-01 08:45:00",22429,12.34,12.38
"2016-11-01 08:50:00",22430,12.59,12.62
"2016-11-01 08:55:00",22431,12.42,12.46
"2016-11-01 09:00:00",22432,12.66,12.69
"2016-11-01 09:05:00",22433,12.41,12.45
"2016-11-01 09:10:00",22434,12.55,12.58
"2016-11-01 09:15:00",22435,12.71,12.74
"2016-11-01 09:20:00",22436,12.98,13.02
"2016-11-01 09:25:00",22437,12.68,12.72
"2016-11-01 09:30:00",22438,12.71,12.76
"2016-11-01 09:35:00",22439,12.48,12.52
"2016-11-01 09:40:00",22440,12.73,12.76
"2016-11-01 09:45:00",22441,12.74,12.78
"2016-11-01 09:50:00",22442,12.6,12.65
"2016-11-01 09:55:00",22443,12.67,12.71
"2016-11-01 10:00:00",22444,12.74,12.78
"2016-11-01 10:05:00",22445,12.61,12.64
"2016-11-01 10:10:00",22446,12.74,12.78
"2016-11-01 10:15:00",22447,12.63,12.67
"2016-11-01 10:20:00",22448,12.72,12.76
"2016-11-01 10:25:00",22449,12.56,12.59
"2016-11-01 10:30:00",22450,12.78,12.81
"2016-11-01 10:35:00",22451,12.84,12.88
"2016-11-01 10:40:00",22452,12.67,12.7
"2016-11-01 10:45:00",22453,12.85,12.89
"2016-11-01 10:50:00",22454,12.72,12.75
"2016-11-01 10:55:00",22455,12.61,12.65
"2016-11-01 11:00:00",22456,12.78,12.82
"2016-11-01 11:05:00",22457,12.75,12.79
"2016-11-01 11:10:00",22458,12.74,12.78
"2016-11-01 11:15:00",22459,12.76,12.8
"2016-11-01 11:20:00",22460,12.8,12.84
"2016-11-01 11:25:00",22461,12.73,12.77
"2016-11-01 11:30:00",22462,12.68,12.73
"2016-11-01 11:35:00",22463,12.53,12.57
"2016-11-01 11:40:00",22464,12.59,12.63
"2016-11-01 11:45:00",22465,12.47,12.51
"2016-11-01 11:50:00",22466,12.63,12.66
"2016-11-01 11:55:00",22467,12.71,12.75
"2016-11-01 12:00:00",22468,12.65,12.7
"2016-11-01 12:05:00",22469,12.49,12.53
"2016-11-01 12:10:00",22470,12.78,12.81
"2016-11-01 12:15:00",22471,12.51,12.54
"2016-11-01 12:20:00",22472,12.58,12.62
"2016-11-01 12:25:00",22473,12.62,12.65
"2016-11-01 12:30:00",22474,12.63,12.68
"2016-11-01 12:35:00",22475,12.46,12.5
"2016-11-01 12:40:00",22476,12.56,12.6
"2016-11-01 12:45:00",22477,12.63,12.66
"2016-11-01 12:50:00",22478,12.7,12.74
"2016-11-01 12:55:00",22479,12.69,12.72
"2016-11-01 13:00:00",22480,12.69,12.73
"2016-11-01 13:05:00",22481,12.7,12.74
"2016-11-01 13:10:00",22482,12.73,12.76
"2016-11-01 13:15:00",22483,12.68,12.71
"2016-11-01 13:20:00",22484,12.84,12.88
"2016-11-01 13:25:00",22485,12.76,12.81
"2016-11-01 13:30:00",22486,12.75,12.79
"2016-11-01 13:35:00",22487,12.7,12.72
"2016-11-01 13:40:00",22488,12.71,12.75
"2016-11-01 13:45:00",22489,12.77,12.79
"2016-11-01 13:50:00",22490,12.88,12.92
"2016-11-01 13:55:00",22491,12.73,12.77
"2016-11-01 14:00:00",22492,12.82,12.87
"2016-11-01 14:05:00",22493,12.7,12.74
"2016-11-01 14:10:00",22494,12.97,13
"2016-11-01 14:15:00",22495,12.87,12.91
"2016-11-01 14:20:00",22496,13.04,13.07
"2016-11-01 14:25:00",22497,12.93,12.98
"2016-11-01 14:30:00",22498,13.1,13.15
"2016-11-01 14:35:00",22499,13.05,13.1
"2016-11-01 14:40:00",22500,13.08,13.11
"2016-11-01 14:45:00",22501,12.98,12.99
"2016-11-01 14:50:00",22502,12.93,12.96
"2016-11-01 14:55:00",22503,12.76,12.81
"2016-11-01 15:00:00",22504,12.87,12.91
"2016-11-01 15:05:00",22505,12.55,12.59
"2016-11-01 15:10:00",22506,12.58,12.61
"2016-11-01 15:15:00",22507,12.49,12.52
"2016-11-01 15:20:00",22508,12.45,12.49
"2016-11-01 15:25:00",22509,12.51,12.55
"2016-11-01 15:30:00",22510,12.35,12.39
"2016-11-01 15:35:00",22511,12.84,12.87
"2016-11-01 15:40:00",22512,12.6,12.64
"2016-11-01 15:45:00",22513,12.28,12.32
"2016-11-01 15:50:00",22514,12.47,12.49
"2016-11-01 15:55:00",22515,12.73,12.76
"2016-11-01 16:00:00",22516,12.55,12.58
"2016-11-01 16:05:00",22517,12.78,12.82
"2016-11-01 16:10:00",22518,12.67,12.71
"2016-11-01 16:15:00",22519,12.69,12.72
"2016-11-01 16:20:00",22520,12.53,12.57
"2016-11-01 16:25:00",22521,12.39,12.42
"2016-11-01 16:30:00",22522,12.4,12.44
"2016-11-01 16:35:00",22523,12.31,12.33
"2016-11-01 16:40:00",22524,12.63,12.65
"2016-11-01 16:45:00",22525,12.73,12.76
"2016-11-01 16:50:00",22526,12.73,12.76
"2016-11-01 16:55:00",22527,12.45,12.49
"2016-11-01 17:00:00",22528,12.64,12.67
