"TOA5","Buchillon","CR6","2688","CR6.Std.05.01","CPU:buchillon_v2_1.CR6","45961","KT1585"
"TIMESTAMP","RECORD","WaterTemp0mKT15a","WaterTemp0mKT15n"
"TS","RN","Deg C","Deg C"
"","","Smp","Smp"
"2016-12-01 09:45:00",24,7.551,7.59
"2016-12-01 09:50:00",25,7.733,7.78
"2016-12-01 09:55:00",26,7.494,7.53
"2016-12-01 10:00:00",27,7.851,7.89
"2016-12-01 10:05:00",28,7.98,8.03
"2016-12-01 10:10:00",29,7.83,7.86
"2016-12-01 10:15:00",30,7.943,7.98
"2016-12-01 10:20:00",31,7.828,7.87
"2016-12-01 10:25:00",32,7.986,8.03
"2016-12-01 10:30:00",33,8.04,8.09
"2016-12-01 10:35:00",34,8.26,8.3
"2016-12-01 10:40:00",35,8.09,8.13
"2016-12-01 10:45:00",36,8.34,8.37
"2016-12-01 10:50:00",37,8.07,8.12
"2016-12-01 10:55:00",38,8.07,8.11
"2016-12-01 11:00:00",39,8.15,8.18
"2016-12-01 11:05:00",40,8.15,8.19
"2016-12-01 11:10:00",41,8.28,8.33
"2016-12-01 11:15:00",42,8.18,8.21
"2016-12-01 11:20:00",43,8.34,8.39
"2016-12-01 11:25:00",44,8.22,8.27
"2016-12-01 11:30:00",45,8.13,8.17
"2016-12-01 11:35:00",46,8.12,8.17
"2016-12-01 11:40:00",47,8.26,8.29
"2016-12-01 11:45:00",48,8.07,8.11
"2016-12-01 11:50:00",49,8.15,8.2
"2016-12-01 11:55:00",50,8.23,8.27
"2016-12-01 12:00:00",51,8.36,8.4
"2016-12-01 12:05:00",52,8.22,8.25
"2016-12-01 12:10:00",53,8.33,8.36
"2016-12-01 12:15:00",54,8.23,8.27
"2016-12-01 12:20:00",55,8.54,8.57
"2016-12-01 12:25:00",56,8.52,8.56
"2016-12-01 12:30:00",57,8.68,8.71
"2016-12-01 12:35:00",58,8.49,8.52
"2016-12-01 12:40:00",59,8.63,8.65
"2016-12-01 12:45:00",60,8.5,8.54
"2016-12-01 12:50:00",61,8.7,8.73
"2016-12-01 12:55:00",62,8.85,8.89
"2016-12-01 13:00:00",63,8.62,8.66
"2016-12-01 13:15:00",0,8.97,8.99
"2016-12-01 13:20:00",1,8.73,8.77
"2016-12-01 13:25:00",2,8.85,8.88
"2016-12-01 13:30:00",3,8.81,8.84
"2016-12-01 13:35:00",4,8.7,8.74
"2016-12-01 13:40:00",5,9.01,9.05
"2016-12-01 13:45:00",6,8.84,8.87
"2016-12-01 13:50:00",7,8.85,8.88
"2016-12-01 13:55:00",8,9,9.02
"2016-12-01 14:00:00",9,9.13,9.17
"2016-12-01 14:05:00",10,8.92,8.93
"2016-12-01 14:15:00",0,8.93,8.96
"2016-12-01 14:20:00",1,9.01,9.04
"2016-12-01 14:25:00",2,9.01,9.04
"2016-12-01 14:30:00",3,8.89,8.92
"2016-12-01 14:35:00",4,8.96,9
"2016-12-01 14:40:00",5,8.8,8.85
"2016-12-01 14:45:00",6,9.16,9.18
"2016-12-01 14:50:00",7,9.05,9.08
"2016-12-01 14:55:00",8,8.69,8.71
"2016-12-01 15:00:00",9,8.91,8.94
"2016-12-01 15:05:00",10,8.63,8.66
"2016-12-01 15:10:00",11,8.73,8.77
"2016-12-01 15:15:00",12,8.63,8.65
"2016-12-01 15:20:00",13,8.82,8.85
"2016-12-01 15:25:00",14,8.63,8.65
"2016-12-01 15:30:00",15,8.84,8.87
"2016-12-01 15:35:00",16,9.03,9.07
"2016-12-01 15:40:00",17,8.73,8.75
"2016-12-01 15:45:00",18,9.04,9.07
"2016-12-01 15:50:00",19,8.85,8.88
"2016-12-01 15:55:00",20,8.85,8.88
"2016-12-01 16:00:00",21,9.21,9.25
"2016-12-01 16:05:00",22,8.78,8.81
"2016-12-01 16:10:00",23,8.76,8.79
"2016-12-01 16:15:00",24,8.79,8.82
"2016-12-01 16:20:00",25,8.93,8.96
"2016-12-01 16:25:00",26,8.58,8.63
"2016-12-01 16:30:00",27,8.44,8.47
"2016-12-01 16:35:00",28,8.45,8.47
"2016-12-01 16:40:00",29,8.49,8.53
"2016-12-01 16:45:00",30,8.28,8.31
"2016-12-01 16:50:00",31,8.13,8.16
"2016-12-01 16:55:00",32,7.922,7.96
"2016-12-01 17:00:00",33,8.25,8.28
"2016-12-01 17:05:00",34,8.16,8.21
"2016-12-01 17:10:00",35,8.86,8.89
"2016-12-01 17:15:00",36,8.21,8.24
"2016-12-01 17:20:00",37,8.42,8.45
"2016-12-01 17:25:00",38,8.32,8.35
"2016-12-01 17:30:00",39,8.21,8.25
"2016-12-01 17:35:00",40,8.62,8.65
"2016-12-01 17:40:00",41,8.38,8.41
"2016-12-01 17:45:00",42,7.979,8.02
"2016-12-01 17:50:00",43,8.1,8.13
"2016-12-01 17:55:00",44,8.27,8.29
"2016-12-01 18:00:00",45,8.28,8.32
"2016-12-01 18:25:00",0,8.03,8.06
"2016-12-01 18:30:00",1,7.718,7.77
"2016-12-01 18:35:00",2,7.767,7.81
"2016-12-01 18:40:00",3,8.24,8.28
"2016-12-01 18:45:00",4,8.28,8.33
"2016-12-01 18:50:00",5,8.23,8.26
"2016-12-01 18:55:00",6,8.05,8.08
"2016-12-01 19:00:00",7,8.12,8.16
"2016-12-01 19:05:00",8,8.05,8.08
"2016-12-01 19:10:00",9,8.08,8.12
"2016-12-01 19:15:00",10,8.26,8.31
"2016-12-01 19:20:00",11,8.05,8.09
"2016-12-01 19:25:00",12,7.386,7.43
"2016-12-01 19:30:00",13,7.819,7.85
"2016-12-01 19:35:00",14,7.58,7.62
"2016-12-01 19:40:00",15,8.08,8.13
"2016-12-01 19:45:00",16,7.61,7.63
"2016-12-01 19:50:00",17,7.736,7.76
"2016-12-01 19:55:00",18,7.699,7.74
"2016-12-01 20:00:00",19,7.755,7.79
"2016-12-01 20:05:00",20,7.806,7.85
"2016-12-01 20:10:00",21,8.07,8.09
"2016-12-01 20:15:00",22,7.497,7.53
"2016-12-01 20:20:00",23,7.799,7.84
"2016-12-01 20:25:00",24,7.754,7.79
"2016-12-01 20:30:00",25,8.3,8.33
"2016-12-01 20:35:00",26,7.849,7.9
"2016-12-01 20:40:00",27,7.563,7.6
"2016-12-01 20:45:00",28,7.503,7.55
"2016-12-01 20:50:00",29,7.94,7.98
"2016-12-01 20:55:00",30,7.803,7.85
"2016-12-01 21:00:00",31,7.908,7.94
"2016-12-01 21:05:00",32,7.689,7.73
"2016-12-01 21:10:00",33,7.446,7.49
"2016-12-01 21:15:00",34,7.552,7.59
"2016-12-01 21:20:00",35,7.642,7.68
"2016-12-01 21:25:00",36,7.741,7.78
"2016-12-01 21:30:00",37,8.13,8.15
"2016-12-01 21:35:00",38,7.69,7.72
"2016-12-01 21:40:00",39,7.987,8.02
"2016-12-01 21:45:00",40,7.705,7.74
"2016-12-01 21:50:00",41,7.891,7.95
"2016-12-01 21:55:00",42,7.845,7.88
"2016-12-01 22:00:00",43,7.779,7.82
"2016-12-01 22:05:00",44,7.883,7.93
"2016-12-01 22:10:00",45,7.782,7.82
"2016-12-01 22:15:00",46,7.985,8.03
"2016-12-01 22:20:00",47,7.726,7.76
"2016-12-01 22:25:00",48,8.05,8.08
"2016-12-01 22:30:00",49,8.04,8.09
"2016-12-01 22:35:00",50,7.95,7.98
"2016-12-01 22:40:00",51,7.766,7.81
"2016-12-01 22:45:00",52,7.848,7.89
"2016-12-01 22:50:00",53,7.906,7.95
"2016-12-01 22:55:00",54,7.946,8.01
"2016-12-01 23:00:00",55,7.67,7.71
"2016-12-01 23:05:00",56,7.819,7.86
"2016-12-01 23:10:00",57,7.916,7.96
"2016-12-01 23:15:00",58,7.805,7.85
"2016-12-01 23:20:00",59,7.679,7.72
"2016-12-01 23:25:00",60,7.875,7.91
"2016-12-01 23:30:00",61,7.716,7.76
"2016-12-01 23:35:00",62,7.754,7.79
"2016-12-01 23:40:00",63,7.823,7.85
"2016-12-01 23:45:00",64,7.7,7.75
"2016-12-01 23:50:00",65,7.754,7.79
"2016-12-01 23:55:00",66,7.969,8.01
"2016-12-02 00:00:00",67,7.689,7.73
"2016-12-02 00:05:00",68,7.714,7.76
"2016-12-02 00:10:00",69,7.725,7.77
"2016-12-02 00:15:00",70,7.867,7.92
"2016-12-02 00:20:00",71,7.619,7.66
"2016-12-02 00:25:00",72,7.754,7.8
"2016-12-02 00:30:00",73,8.02,8.08
"2016-12-02 00:35:00",74,7.545,7.61
"2016-12-02 00:40:00",75,7.707,7.74
"2016-12-02 00:45:00",76,7.572,7.61
"2016-12-02 00:50:00",77,8.01,8.05
"2016-12-02 00:55:00",78,7.542,7.59
"2016-12-02 01:00:00",79,7.551,7.59
"2016-12-02 02:10:00",80,7.654,7.7
"2016-12-02 02:15:00",81,7.654,7.7
"2016-12-02 02:20:00",82,7.67,7.71
"2016-12-02 02:25:00",83,7.869,7.91
"2016-12-02 02:30:00",84,7.731,7.76
"2016-12-02 02:35:00",85,7.926,7.97
"2016-12-02 02:40:00",86,7.908,7.95
"2016-12-02 02:45:00",87,7.941,7.99
"2016-12-02 02:50:00",88,7.995,8.04
"2016-12-02 02:55:00",89,7.665,7.71
"2016-12-02 03:00:00",90,7.734,7.78
"2016-12-02 03:05:00",91,7.995,8.05
"2016-12-02 03:10:00",92,7.695,7.74
"2016-12-02 03:15:00",93,7.752,7.8
"2016-12-02 03:20:00",94,7.738,7.77
"2016-12-02 03:25:00",95,7.875,7.91
"2016-12-02 03:30:00",96,7.685,7.72
"2016-12-02 03:35:00",97,7.471,7.51
"2016-12-02 03:40:00",98,7.943,7.98
"2016-12-02 03:45:00",99,7.803,7.84
"2016-12-02 03:50:00",100,7.767,7.8
"2016-12-02 03:55:00",101,7.995,8.04
"2016-12-02 04:00:00",102,7.99,8.03
"2016-12-02 04:05:00",103,7.855,7.91
"2016-12-02 04:10:00",104,7.887,7.92
"2016-12-02 04:15:00",105,7.732,7.78
"2016-12-02 04:20:00",106,7.888,7.93
"2016-12-02 04:25:00",107,7.856,7.9
"2016-12-02 04:30:00",108,8.01,8.05
"2016-12-02 04:35:00",109,7.806,7.85
"2016-12-02 04:40:00",110,7.779,7.81
"2016-12-02 04:45:00",111,7.635,7.68
"2016-12-02 04:50:00",112,7.802,7.84
"2016-12-02 04:55:00",113,7.606,7.64
"2016-12-02 05:00:00",114,7.759,7.79
"2016-12-02 05:05:00",115,7.333,7.38
"2016-12-02 05:10:00",116,7.736,7.77
"2016-12-02 05:15:00",117,7.618,7.66
"2016-12-02 05:20:00",118,7.78,7.82
"2016-12-02 05:25:00",119,7.477,7.52
"2016-12-02 05:30:00",120,7.582,7.61
"2016-12-02 05:35:00",121,7.685,7.73
"2016-12-02 05:40:00",122,7.708,7.75
"2016-12-02 05:45:00",123,7.451,7.49
"2016-12-02 05:50:00",124,7.906,7.95
"2016-12-02 05:55:00",125,7.513,7.55
