"TOA5","Buchillon","CR6","2688","CR6.Std.03","CPU:buchillon_v2_1.CR6","10245","LoggerSensor"
"TIMESTAMP","RECORD","BattV_Avg","BattV_Min","PTemp_C_Avg","CDM1BattV_Avg","CDM1PTempC1_Avg","CDM1PTempC2_Avg","WaterTemp0mKT15a_Avg","WaterTemp0mKT15n_Avg"
"TS","RN","Volts","Volts","Deg C","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Avg","Min","Avg","Avg","Avg","Avg","Avg","Avg"
"2016-11-01 00:00:00",1860,12.21,12.09,9.71,12.13,9.55,9.71,12.9,12.94
"2016-11-01 01:00:00",1861,12.18,12.06,9.63,12.09,9.47,9.63,12.84,12.88
"2016-11-01 02:00:00",1862,12.16,12.06,9.56,12.07,9.4,9.56,12.83,12.87
"2016-11-01 03:00:00",1863,12.15,12.03,9.43,12.06,9.26,9.43,12.87,12.91
"2016-11-01 04:00:00",1864,12.15,12.06,9.34,12.06,9.18,9.34,12.87,12.91
"2016-11-01 05:00:00",1865,12.14,12.03,9.28,12.06,9.12,9.29,12.87,12.91
"2016-11-01 06:00:00",1866,12.13,12.03,9.25,12.05,9.1,9.26,12.95,12.99
"2016-11-01 07:00:00",1867,12.13,12.05,9.18,12.05,9.03,9.19,12.98,13.02
"2016-11-01 08:00:00",1868,12.13,12.03,9.13,12.05,8.98,9.14,12.82,12.86
"2016-11-01 09:00:00",1869,12.12,12.03,9.03,12.04,8.87,9.03,12.62,12.65
"2016-11-01 10:00:00",1870,12.16,12.03,9.05,12.07,8.93,9.09,12.66,12.7
"2016-11-01 11:00:00",1871,12.27,12.09,9.17,12.18,9.07,9.24,12.71,12.74
"2016-11-01 12:00:00",1872,12.59,12.3,9.24,12.51,9.15,9.32,12.68,12.72
"2016-11-01 13:00:00",1873,12.82,12.66,9.35,12.74,9.34,9.5,12.61,12.65
"2016-11-01 14:00:00",1874,12.87,12.72,9.58,12.79,9.64,9.81,12.75,12.78
"2016-11-01 15:00:00",1875,13.14,12.89,9.83,13.05,9.97,10.13,12.94,12.97
"2016-11-01 16:00:00",1876,13.34,13.24,10.17,13.25,10.54,10.63,12.56,12.59
"2016-11-01 17:00:00",1877,13.35,13.24,10.72,13.27,11.15,11.24,12.57,12.6
"2016-11-01 18:00:00",1878,13.29,12.81,11.01,13.19,11.22,11.36,12.42,12.45
"2016-11-01 19:00:00",1879,12.57,12.38,10.67,12.49,10.56,10.73,11.97,12
"2016-11-01 20:00:00",1880,12.42,12.29,9.24,12.34,8.87,9.03,11.79,11.83
"2016-11-01 21:00:00",1881,12.37,12.26,8.18,12.29,7.858,8.02,11.8,11.84
"2016-11-01 22:00:00",1882,12.35,12.25,7.614,12.26,7.36,7.522,11.77,11.81
"2016-11-01 23:00:00",1883,12.32,12.22,7.341,12.24,7.123,7.285,11.75,11.79
"2016-11-02 00:00:00",1884,12.29,12.19,7.12,12.22,6.919,7.082,11.69,11.73
"2016-11-02 01:00:00",1885,12.28,12.18,7.045,12.2,6.873,7.037,11.64,11.68
"2016-11-02 02:00:00",1886,12.26,12.14,7.157,12.18,7.015,7.177,11.71,11.75
"2016-11-02 03:00:00",1887,12.24,12.13,7.147,12.16,6.983,7.145,11.74,11.77
"2016-11-02 04:00:00",1888,12.23,12.11,7.104,12.14,6.953,7.116,11.78,11.82
"2016-11-02 05:00:00",1889,12.2,12.07,7.438,12.11,7.378,7.532,11.44,11.48
"2016-11-02 06:00:00",1890,12.17,12.06,7.47,12.09,7.307,7.468,11.6,11.63
"2016-11-02 07:00:00",1891,12.14,12.03,7.357,12.06,7.197,7.356,11.48,11.52
"2016-11-02 08:00:00",1892,12.12,12.02,7.173,12.03,6.995,7.155,11.51,11.55
"2016-11-02 09:00:00",1893,12.17,12.02,6.995,12.08,6.834,6.999,11.91,11.95
"2016-11-02 10:00:00",1894,13.12,12.35,7.588,13.04,7.746,7.884,12.04,12.08
"2016-11-02 11:00:00",1895,13.32,13.23,10.19,13.24,10.79,10.91,12.36,12.4
"2016-11-02 12:00:00",1896,13.3,13.22,13.05,13.22,13.73,13.85,12.74,12.78
"2016-11-02 13:00:00",1897,13.3,13.2,14.41,13.21,14.91,15.06,13.15,13.18
"2016-11-02 14:00:00",1898,13.32,13.19,14.07,13.24,14.27,14.44,13.06,13.09
"2016-11-02 15:00:00",1899,13.33,13.2,13.78,13.25,13.97,14.1,13.25,13.28
"2016-11-02 16:00:00",1900,13.33,13.23,13.6,13.26,13.73,13.85,13.26,13.29
"2016-11-02 17:00:00",1901,13.33,13.23,13.74,13.26,13.86,13.99,13.24,13.28
"2016-11-02 18:00:00",1902,13.32,12.93,13.96,13.23,14.07,14.21,13.14,13.17
"2016-11-02 19:00:00",1903,12.62,12.37,13.68,12.54,13.53,13.69,12.62,12.65
"2016-11-02 20:00:00",1904,12.42,12.3,12.54,12.34,12.21,12.36,12.55,12.59
"2016-11-02 21:00:00",1905,12.38,12.29,11.55,12.3,11.23,11.39,12.45,12.49
"2016-11-02 22:00:00",1906,12.36,12.26,11.03,12.28,10.81,10.97,12.62,12.66
"2016-11-02 23:00:00",1907,12.35,12.25,11.1,12.26,10.95,11.11,12.72,12.75
"2016-11-03 00:00:00",1908,12.34,12.22,10.99,12.25,10.81,10.97,12.63,12.66
"2016-11-03 01:00:00",1909,12.31,12.22,10.9,12.24,10.74,10.9,12.6,12.64
"2016-11-03 02:00:00",1910,12.29,12.18,10.94,12.22,10.8,10.96,12.6,12.63
"2016-11-03 03:00:00",1911,12.28,12.19,10.8,12.21,10.62,10.78,12.46,12.5
"2016-11-03 04:00:00",1912,12.28,12.18,10.66,12.2,10.49,10.65,12.45,12.49
"2016-11-03 05:00:00",1913,12.27,12.16,10.45,12.19,10.26,10.42,12.32,12.36
"2016-11-03 06:00:00",1914,12.25,12.15,10.13,12.17,9.93,10.09,12.34,12.38
"2016-11-03 07:00:00",1915,12.24,12.11,9.52,12.15,9.27,9.42,11.68,11.72
"2016-11-03 08:00:00",1916,12.22,12.11,8.88,12.13,8.64,8.8,11.69,11.72
"2016-11-03 09:00:00",1917,12.24,12.1,8.78,12.16,8.62,8.77,12.09,12.13
"2016-11-03 10:00:00",1918,13.14,12.31,9.52,13.07,9.61,9.78,11.93,11.97
"2016-11-03 11:00:00",1919,13.32,13.23,12.06,13.23,12.35,12.52,12.07,12.1
"2016-11-03 12:00:00",1920,13.33,13.23,13.15,13.25,13.21,13.41,12.27,12.31
"2016-11-03 13:00:00",1921,13.34,13.24,13.25,13.26,13.22,13.41,12.34,12.37
"2016-11-03 14:00:00",1922,13.36,13.24,13.2,13.27,13.19,13.35,12.4,12.43
"2016-11-03 15:00:00",1923,13.37,13.27,12.95,13.28,12.97,13.09,12.54,12.57
"2016-11-03 16:00:00",1924,13.37,13.27,12.78,13.28,12.87,12.98,12.59,12.62
"2016-11-03 17:00:00",1925,13.37,13.25,12.83,13.28,13.06,13.15,12.58,12.61
"2016-11-03 18:00:00",1926,13.35,12.92,12.89,13.25,13.07,13.2,12.42,12.46
"2016-11-03 19:00:00",1927,12.59,12.34,11.91,12.51,11.67,11.84,11.82,11.86
"2016-11-03 20:00:00",1928,12.39,12.29,10.18,12.31,9.76,9.91,11.46,11.5
"2016-11-03 21:00:00",1929,12.36,12.26,9.03,12.28,8.68,8.83,11.43,11.47
"2016-11-03 22:00:00",1930,12.34,12.23,8.49,12.25,8.24,8.39,11.37,11.41
"2016-11-03 23:00:00",1931,12.3,12.21,8.17,12.23,7.938,8.09,11.34,11.37
"2016-11-04 00:00:00",1932,12.29,12.19,7.851,12.21,7.62,7.777,11.3,11.34
"2016-11-04 01:00:00",1933,12.28,12.18,7.325,12.2,7.06,7.22,11.41,11.45
"2016-11-04 02:00:00",1934,12.26,12.15,6.76,12.18,6.481,6.639,11.06,11.1
"2016-11-04 03:00:00",1935,12.24,12.14,6.142,12.16,5.86,6.023,11.06,11.09
"2016-11-04 04:00:00",1936,12.23,12.11,5.438,12.14,5.128,5.293,10.95,10.99
"2016-11-04 05:00:00",1937,12.2,12.08,4.641,12.12,4.322,4.488,10.87,10.91
"2016-11-04 06:00:00",1938,12.17,12.07,3.995,12.09,3.716,3.885,10.74,10.78
"2016-11-04 07:00:00",1939,12.15,12.03,3.661,12.07,3.429,3.599,10.79,10.84
"2016-11-04 08:00:00",1940,12.12,12.03,3.474,12.04,3.269,3.44,10.95,10.99
