"TOA5","Buchillon","CR6","2688","CR6.Std.05.01","CPU:buchillon_v2_1.CR6","45961","LoggerSensor"
"TIMESTAMP","RECORD","BattV_Avg","BattV_Min","PTemp_C_Avg","CDM1BattV_Avg","CDM1PTempC1_Avg","CDM1PTempC2_Avg","WaterTemp0mKT15a_Avg","WaterTemp0mKT15n_Avg"
"TS","RN","Volts","Volts","Deg C","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Avg","Min","Avg","Avg","Avg","Avg","Avg","Avg"
"2016-12-01 10:00:00",142,13.13,0,-0.41,12.9,-0.487,-0.341,5.76,5.791
"2016-12-01 11:00:00",143,13.55,13.29,2.072,13.4,2.16,2.308,8.02,8.07
"2016-12-01 12:00:00",144,13.42,13.27,4.589,13.34,4.755,4.89,8.19,8.23
"2016-12-01 13:00:00",145,13.4,13.24,6.442,13.31,6.674,6.853,8.5,8.54
"2016-12-01 14:00:00",147,13.31,0,6.699,13.24,6.79,6.946,8.64,8.67
"2016-12-01 15:00:00",0,13.15,0,6.385,13.07,6.518,6.601,4.813,4.826
"2016-12-01 16:00:00",1,13.29,0,6.758,13.23,6.985,7.075,8.12,8.15
"2016-12-01 17:00:00",2,12.89,12.2,7.001,12.82,7.134,7.257,8.56,8.59
"2016-12-01 18:00:00",3,12.08,0,5.593,12.02,4.981,5.182,7.177,7.204
"2016-12-01 19:00:00",0,11.97,0,4.015,11.9,3.33,3.536,7.855,7.895
"2016-12-01 20:00:00",1,12.24,12.07,3.243,12.16,2.538,2.751,7.871,7.908
"2016-12-01 21:00:00",2,12.21,12.06,2.524,12.13,1.861,2.075,7.803,7.842
"2016-12-01 22:00:00",3,12.19,12.03,1.964,12.11,1.343,1.558,7.768,7.805
"2016-12-01 23:00:00",4,12.16,12.03,1.685,12.09,1.097,1.311,7.888,7.931
"2016-12-02 00:00:00",5,12.15,12.03,1.389,12.07,0.799,1.013,7.791,7.831
"2016-12-02 01:00:00",6,12.13,11.98,1.054,12.06,0.464,0.678,7.73,7.776
"2016-12-02 03:00:00",7,12.1,11.91,0.902,12.03,0.235,0.45,7.78,7.822
"2016-12-02 04:00:00",8,12.11,11.95,0.714,12.03,0.16,0.372,7.789,7.83
"2016-12-02 05:00:00",9,12.09,11.92,0.864,12.02,0.366,0.577,7.819,7.86
"2016-12-02 06:00:00",10,12.07,11.91,0.686,12,0.116,0.332,7.629,7.668
"2016-12-02 07:00:00",11,12.05,11.91,0.441,11.99,-0.104,0.11,7.811,7.856
"2016-12-02 08:00:00",12,12.04,11.89,0.57,11.98,0.08,0.288,7.736,7.775
"2016-12-02 09:00:00",13,12.04,11.88,0.902,11.97,0.486,0.685,8.06,8.1
"2016-12-02 10:00:00",14,12.1,11.87,1.551,12.03,1.161,1.343,7.991,8.04
"2016-12-02 11:00:00",15,13.22,12.03,2.571,13.12,2.631,2.754,7.834,7.872
"2016-12-02 12:00:00",16,13.38,13.24,4.802,13.3,4.999,5.167,8.24,8.28
"2016-12-02 13:00:00",17,13.39,13.24,5.624,13.3,5.702,5.888,8.34,8.38
"2016-12-02 14:00:00",18,13.38,13.24,6.305,13.29,6.427,6.575,8.6,8.64
"2016-12-02 15:00:00",19,13.38,13.23,6.778,13.29,6.822,6.962,8.73,8.77
"2016-12-02 16:00:00",20,13.39,13.23,6.917,13.3,6.946,7.09,8.8,8.83
"2016-12-02 17:00:00",21,13.4,13.23,7.103,13.31,7.059,7.202,8.67,8.7
"2016-12-02 18:00:00",22,12.98,12.27,7.064,12.9,6.826,7.012,8.53,8.56
"2016-12-02 19:00:00",23,12.35,12.19,6.389,12.28,5.842,6.048,8.35,8.39
"2016-12-02 20:00:00",24,12.29,12.14,5.88,12.23,5.351,5.544,8.28,8.31
"2016-12-02 21:00:00",25,12.27,12.11,5.681,12.2,5.203,5.391,8.25,8.29
"2016-12-02 22:00:00",26,12.24,12.1,5.609,12.18,5.136,5.324,8.17,8.21
"2016-12-02 23:00:00",27,12.23,12.06,5.496,12.16,5.012,5.203,8.12,8.16
"2016-12-03 00:00:00",28,12.22,12.06,5.321,12.14,4.837,5.027,8.17,8.21
"2016-12-03 01:00:00",29,12.2,12.05,5.249,12.12,4.771,4.961,8.22,8.25
"2016-12-03 02:00:00",30,12.18,12.02,5.089,12.1,4.574,4.769,8.06,8.1
"2016-12-03 03:00:00",31,12.15,12.02,4.872,12.08,4.351,4.546,8.18,8.21
"2016-12-03 04:00:00",32,12.14,11.99,4.562,12.07,4.009,4.21,8.26,8.3
"2016-12-03 05:00:00",33,12.12,11.95,4.447,12.05,3.964,4.157,8.51,8.55
"2016-12-03 06:00:00",34,12.1,11.95,4.618,12.03,4.144,4.338,8.48,8.52
"2016-12-03 07:00:00",35,12.08,11.93,4.711,12.01,4.246,4.438,8.58,8.62
"2016-12-03 08:00:00",36,12.08,11.92,4.996,12,4.554,4.745,8.55,8.59
"2016-12-03 09:00:00",37,12.06,11.91,5.089,11.99,4.601,4.796,8.46,8.5
"2016-12-03 10:00:00",38,12.07,11.91,5.137,12,4.657,4.853,8.74,8.78
"2016-12-03 11:00:00",39,12.13,11.95,5.304,12.06,4.851,5.042,8.68,8.72
"2016-12-03 12:00:00",40,12.39,12.03,5.608,12.32,5.238,5.417,8.86,8.89
"2016-12-03 13:00:00",41,12.55,12.34,5.993,12.47,5.691,5.871,8.93,8.97
"2016-12-03 14:00:00",42,12.62,12.39,6.26,12.54,5.951,6.137,8.97,9.01
"2016-12-03 15:00:00",43,12.61,12.42,6.441,12.53,6.116,6.301,8.95,8.98
"2016-12-03 16:00:00",44,12.55,12.34,6.563,12.48,6.209,6.395,8.9,8.94
"2016-12-03 17:00:00",45,12.44,12.23,6.543,12.37,6.124,6.308,8.89,8.93
"2016-12-03 18:00:00",46,12.25,12.03,6.358,12.17,5.866,6.064,8.86,8.89
"2016-12-03 19:00:00",47,12.13,11.95,6.089,12.06,5.554,5.756,8.74,8.77
"2016-12-03 20:00:00",48,12.09,11.93,5.87,12.01,5.344,5.543,8.72,8.75
"2016-12-03 21:00:00",49,12.06,11.91,5.717,11.99,5.195,5.395,8.69,8.72
"2016-12-03 22:00:00",50,12.04,11.91,5.579,11.98,5.057,5.257,8.75,8.79
"2016-12-03 23:00:00",51,12.04,11.91,5.495,11.98,4.986,5.183,8.76,8.8
"2016-12-04 00:00:00",52,12.04,11.89,5.43,11.97,4.918,5.117,8.65,8.69
"2016-12-04 01:00:00",53,12.04,11.89,5.35,11.97,4.835,5.035,8.57,8.61
"2016-12-04 02:00:00",54,12.04,11.87,5.217,11.96,4.69,4.892,8.58,8.61
"2016-12-04 03:00:00",55,12.04,11.87,5.104,11.96,4.587,4.788,8.59,8.63
"2016-12-04 04:00:00",56,12.04,11.87,5.064,11.96,4.561,4.761,8.69,8.73
"2016-12-04 05:00:00",57,12.03,11.87,4.955,11.95,4.435,4.638,8.71,8.74
"2016-12-04 06:00:00",58,12.03,11.87,4.783,11.95,4.254,4.458,8.66,8.7
"2016-12-04 07:00:00",59,12.03,11.87,4.641,11.94,4.114,4.317,8.57,8.61
"2016-12-04 08:00:00",60,12.02,11.87,4.552,11.94,4.035,4.237,8.53,8.57
"2016-12-04 09:00:00",61,12.02,11.86,4.433,11.93,3.903,4.108,8.58,8.62
"2016-12-04 10:00:00",62,12.02,11.87,4.274,11.94,3.746,3.953,8.48,8.52
"2016-12-04 11:00:00",63,12.06,11.87,4.236,11.99,3.752,3.954,8.51,8.55
"2016-12-04 12:00:00",64,12.16,11.95,4.434,12.08,4.027,4.22,8.6,8.64
"2016-12-04 13:00:00",65,12.31,12.07,4.802,12.24,4.466,4.649,8.6,8.64
"2016-12-04 14:00:00",66,12.54,12.31,5.113,12.47,4.775,4.955,8.65,8.68
"2016-12-04 15:00:00",67,12.82,12.38,5.313,12.75,5.026,5.21,8.41,8.44
"2016-12-04 16:00:00",68,13.18,12.81,5.396,13.1,5.295,5.483,8.37,8.41
"2016-12-04 17:00:00",69,13.33,13,5.584,13.26,5.631,5.774,8.49,8.52
"2016-12-04 18:00:00",70,12.63,12.22,5.8,12.55,5.581,5.785,8.31,8.34
"2016-12-04 19:00:00",71,12.31,12.15,4.834,12.24,4.187,4.405,8.01,8.04
"2016-12-04 20:00:00",72,12.25,12.07,3.768,12.18,3.103,3.317,7.89,7.926
"2016-12-04 21:00:00",73,12.22,12.07,3.086,12.14,2.468,2.679,7.788,7.827
