"TOA5","Buchillon","CR6","2688","CR6.Std.03","CPU:buchillon_v2_1.CR6","10245","WeatherSensor"
"TIMESTAMP","RECORD","WaterTemp35m_Avg","WaterTemp1m_Avg","AirTemp10m_Avg","SolarW","SolarWh_Tot","Rain_mm_Tot","AirTemp7m_Avg","RH_Avg","DewP_Avg","Gust_Max","Gust_TMx","Mean_Wind_Speed","Mean_Wind_Dir"
"TS","RN","Deg C","Deg C","Deg C","W/m^2","Wh/m^2","mm","Deg C","%","Deg C","m/s","m/s","m/s","Deg"
"","","Avg","Avg","Avg","Avg","Tot","Tot","Avg","Avg","Avg","Max","TMx","WVc","WVc"
"2016-09-08 13:00:00",577,"NAN","NAN",20.47,736.9,4421.549,0,0,0,0,2.8,"2016-09-08 12:57:00",1.705,151.9
"2016-09-08 14:00:00",578,"NAN","NAN",21.12,758.7,4551.972,0,0,0,0,5,"2016-09-08 13:56:00",3.069,131.7
"2016-09-08 15:00:00",579,"NAN","NAN","NAN","NAN","NAN",0,0,0,0,4.3,"2016-09-08 14:12:00",3.485,129.4
"2016-09-08 16:00:00",580,"NAN","NAN",22.5,57.81,346.8313,0,0,0,0,4.7,"2016-09-08 15:38:00",3.74,127.9
"2016-09-08 17:00:00",581,"NAN","NAN",23.04,48.42,290.4975,0,0,0,0,4.4,"2016-09-08 16:43:00",3.094,125
"2016-09-08 18:00:00",582,"NAN","NAN",23.7,45.21,271.2894,0,0,0,0,4.3,"2016-09-08 17:31:00",2.971,117.9
"2016-09-08 19:00:00",583,"NAN","NAN",24.56,41.51,249.048,0,0,0,0,4,"2016-09-08 18:02:00",2.176,115.5
"2016-09-08 20:00:00",584,"NAN","NAN",23.75,35.51,213.0374,0,0,0,0,3.1,"2016-09-08 19:01:00",1.468,94.7
"2016-09-08 21:00:00",585,"NAN","NAN",23.06,0,0,0,0,0,0,2.6,"2016-09-08 20:57:00",1.157,81.4
"2016-09-08 22:00:00",586,"NAN","NAN",23.48,0,0,0,0,0,0,5.6,"2016-09-08 21:36:00",2.09,154.4
"2016-09-08 23:00:00",587,"NAN","NAN",22.35,0,0,0,0,0,0,4.3,"2016-09-08 22:01:00",2.474,214.6
"2016-09-09 00:00:00",588,"NAN","NAN",21,0,0,0,0,0,0,2.6,"2016-09-08 23:33:00",1.229,31.62
"2016-09-09 01:00:00",589,"NAN","NAN",18.96,0,0,0,0,0,0,2.6,"2016-09-09 00:07:00",1.704,38.84
"2016-09-09 02:00:00",590,"NAN","NAN",18.59,0,0,0,0,0,0,2.6,"2016-09-09 01:01:00",1.731,37.26
"2016-09-09 03:00:00",591,"NAN","NAN",18.32,0,0,0,0,0,0,2.8,"2016-09-09 02:42:00",1.721,45.44
"2016-09-09 04:00:00",592,"NAN","NAN",18.1,0,0,0,0,0,0,2.9,"2016-09-09 03:49:00",1.817,36.96
"2016-09-09 05:00:00",593,"NAN","NAN",17.58,0,0,0,0,0,0,2.5,"2016-09-09 04:04:00",2.022,36.85
"2016-09-09 06:00:00",594,"NAN","NAN",16.58,0,0,0,0,0,0,2.7,"2016-09-09 05:09:00",2.207,38.99
"2016-09-09 07:00:00",595,"NAN","NAN",16.55,0,0,0,0,0,0,2.3,"2016-09-09 06:00:10",1.162,40.33
"2016-09-09 08:00:00",596,"NAN","NAN",16.42,45.09,270.5434,0,0,0,0,1.6,"2016-09-09 07:18:00",0.755,37.14
"2016-09-09 09:00:00",597,"NAN","NAN",18.95,194.1,1164.797,0,0,0,0,2,"2016-09-09 08:49:00",0.754,31.82
"2016-09-09 10:00:00",598,"NAN","NAN",19.59,358.3,2149.677,0,0,0,0,2.9,"2016-09-09 09:26:00",1.723,239.6
