"TOA5","Buchillon","CR6","2688","CR6.Std.05.01","CPU:buchillon_v3_0.CR6","47638","WeatherSensor"
"TIMESTAMP","RECORD","WaterTemp35m_Avg","WaterTemp1m_Avg","AirTemp10m_Avg","SolarW","SolarWh_Tot","Rain_mm_Tot","AirTemp7m_Avg","RH_Avg","DewP_Avg","Gust_Max","Gust_TMx","Mean_Wind_Speed","Mean_Wind_Dir"
"TS","RN","Deg C","Deg C","Deg C","W/m^2","Wh/m^2","mm","Deg C","%","Deg C","m/s","m/s","m/s","Deg"
"","","Avg","Avg","Avg","Smp","Tot","Tot","Avg","Avg","Avg","Max","TMx","WVc","WVc"
"2016-12-01 10:00:00",143,9.29,9.29,0.251,80.7,161.4398,0,0.141,79.8,-2.303,3.2,"2016-12-01 10:00:00",1.253,73.69
"2016-12-01 11:00:00",144,9.73,9.73,0.997,175.6,1053.58,0,0.818,80.1,-2.269,4.1,"2016-12-01 10:04:00",2.517,61.43
"2016-12-01 12:00:00",145,9.72,9.72,2.743,279.2,1674.947,0,2.677,76.44,-1.099,3.4,"2016-12-01 11:24:00",1.907,68.35
"2016-12-01 13:00:00",146,9.74,9.74,4.052,341.4,2048.354,0,3.976,74.3,-0.23,4.5,"2016-12-01 12:58:00",2.119,157.1
"2016-12-01 14:00:00",148,9.79,9.79,4.622,132.3,612.8598,0,4.575,72.98,0.155,3.4,"2016-12-01 13:23:00",2.196,161.3
"2016-12-01 15:00:00",0,9.64,9.64,5.627,170.4,162.9364,0,5.521,75.61,1.823,2.3,"2016-12-01 14:57:00",1.03,236.8
"2016-12-01 16:00:00",1,9.78,9.77,5.538,59.74,359.2615,0,5.564,74.65,1.448,2.4,"2016-12-01 15:29:00",1.431,198
"2016-12-01 17:00:00",2,9.82,9.81,5.368,0,112.0447,0,5.2,77.19,1.479,2,"2016-12-01 16:00:10",0.948,323.1
"2016-12-01 18:00:00",3,9.66,9.66,3.14,0,0,0,2.686,85.6,0.702,1.6,"2016-12-01 17:39:00",1.25,40.35
"2016-12-01 19:00:00",0,9.55,9.55,1.754,0,0,0,1.42,85.6,-0.399,2,"2016-12-01 18:49:00",1.359,39.35
"2016-12-01 20:00:00",1,9.75,9.75,1.636,0,0,0,1.193,84.5,-1.201,2,"2016-12-01 19:37:00",1.024,52.47
"2016-12-01 21:00:00",2,9.68,9.68,1.15,0,0,0,0.633,83.6,-1.882,2.2,"2016-12-01 20:30:00",1.403,44.07
"2016-12-01 22:00:00",3,9.66,9.66,1.569,0,0,0,0.853,80.7,-2.148,2.2,"2016-12-01 21:02:00",1.537,38.47
"2016-12-01 23:00:00",4,9.66,9.65,1.408,0,0,0,0.515,79.92,-2.598,2.5,"2016-12-01 22:52:00",1.905,29.2
"2016-12-02 00:00:00",5,9.65,9.65,0.683,0,0,0,0.025,83.6,-2.461,2.5,"2016-12-01 23:26:00",2.068,33.14
"2016-12-02 01:00:00",6,9.6,9.6,0.522,0,0,0,-0.155,80.9,-3.09,2.4,"2016-12-02 00:21:00",2.049,32.51
"2016-12-02 03:00:00",7,9.61,9.61,0.334,0,0,0,-0.295,80.9,-3.217,2.5,"2016-12-02 02:26:00",2.088,32.97
"2016-12-02 04:00:00",8,9.64,9.64,0.584,0,0,0,-0.367,84.7,-2.669,2.5,"2016-12-02 03:45:00",1.951,24.2
"2016-12-02 05:00:00",9,9.63,9.63,0.571,0,0,0,-0.424,88,-2.216,2.5,"2016-12-02 04:39:00",1.812,25.11
"2016-12-02 06:00:00",10,9.61,9.61,-0.369,0,0,0,-0.896,88.3,-2.633,2.2,"2016-12-02 05:03:00",1.841,35.29
"2016-12-02 07:00:00",11,9.61,9.61,-0.582,0,0,0,-1.041,85.4,-3.226,2.6,"2016-12-02 06:50:00",2.036,35.77
"2016-12-02 08:00:00",12,9.65,9.64,-0.889,0,0,0,-1.17,87.7,-2.995,2.3,"2016-12-02 07:00:20",1.774,36.05
"2016-12-02 09:00:00",13,9.62,9.62,0.292,1.846,1.402924,0,0.147,92,-1.049,3.2,"2016-12-02 08:53:00",2.042,39.7
"2016-12-02 10:00:00",14,9.57,9.56,0.239,32.64,99.73171,0,0.194,92.4,-0.941,7.2,"2016-12-02 09:49:00",3.469,62.59
"2016-12-02 11:00:00",15,9.49,9.48,1.616,233,927.2155,0,1.525,83.9,-0.965,5.5,"2016-12-02 10:52:00",2.744,65.9
"2016-12-02 12:00:00",16,9.55,9.55,2.681,322,1632.796,0,2.661,74.76,-1.429,8.7,"2016-12-02 11:42:00",4.422,65.69
"2016-12-02 13:00:00",17,9.58,9.58,3.825,364.3,2022.909,0,3.794,65.19,-2.197,9,"2016-12-02 12:09:00",4.576,74.59
"2016-12-02 14:00:00",18,9.58,9.58,5.285,346.4,2102.136,0,5.235,56.79,-2.695,7.9,"2016-12-02 13:59:00",3.938,79.43
"2016-12-02 15:00:00",19,9.61,9.6,5.886,43.67,1067.799,0,5.881,56.71,-2.103,9,"2016-12-02 14:08:00",4.768,66.02
"2016-12-02 16:00:00",20,9.58,9.58,6.074,186.3,536.0624,0,6.056,58.05,-1.622,8.4,"2016-12-02 15:15:00",4.722,65.85
"2016-12-02 17:00:00",21,9.56,9.56,6.065,63.64,740.3015,0,6.03,60,-1.198,8,"2016-12-02 16:14:00",4.38,64.48
"2016-12-02 18:00:00",22,9.54,9.53,5.413,0,120.8793,0,5.336,65.24,-0.72,7.7,"2016-12-02 17:01:00",3.99,65.5
"2016-12-02 19:00:00",23,9.53,9.53,4.866,0,0,0,4.766,69.97,-0.293,6,"2016-12-02 19:00:00",2.787,85
"2016-12-02 20:00:00",24,9.46,9.46,4.748,0,0,0,4.654,68.97,-0.598,7.5,"2016-12-02 20:00:00",3.765,76.88
"2016-12-02 21:00:00",25,9.39,9.38,4.697,0,0,0,4.605,69.02,-0.637,9.7,"2016-12-02 20:40:00",4.726,73.1
"2016-12-02 22:00:00",26,9.3,9.29,4.542,0,0,0,4.457,71,-0.39,10.9,"2016-12-02 21:57:00",5.007,72.22
"2016-12-02 23:00:00",27,9.33,9.33,4.328,0,0,0,4.25,71.87,-0.422,9.4,"2016-12-02 22:06:00",4.689,75.21
"2016-12-03 00:00:00",28,9.45,9.45,4.247,0,0,0,4.166,73.57,-0.181,9,"2016-12-02 23:48:00",4.796,73.65
"2016-12-03 01:00:00",29,9.4,9.4,4.141,0,0,0,4.082,73.86,-0.208,8.4,"2016-12-03 00:20:00",4.245,79.66
"2016-12-03 02:00:00",30,9.34,9.34,3.864,0,0,0,3.803,75.15,-0.241,6.4,"2016-12-03 01:02:00",3.125,85.6
