"TOA5","Buchillon","CR6","2688","CR6.Std.05.01","CPU:buchillon_v3_0.CR6","10111","KT1585"
"TIMESTAMP","RECORD","WaterTemp0mKT15a","WaterTemp0mKT15n"
"TS","RN","Deg C","Deg C"
"","","Smp","Smp"
"2016-12-05 10:05:00",1039,8.03,8.07
"2016-12-05 10:10:00",1040,8.23,8.26
"2016-12-05 10:15:00",1041,8.66,8.7
"2016-12-05 10:20:00",1042,8.15,8.19
"2016-12-05 10:25:00",1043,8.45,8.48
"2016-12-05 10:30:00",1044,8.58,8.63
"2016-12-05 10:35:00",1045,8.27,8.3
"2016-12-05 10:40:00",1046,8.51,8.54
"2016-12-05 10:45:00",1047,8.43,8.47
"2016-12-05 10:50:00",1048,8.44,8.48
"2016-12-05 10:55:00",1049,8.49,8.53
"2016-12-05 11:00:00",1050,8.48,8.53
"2016-12-05 11:05:00",1051,8.27,8.31
"2016-12-05 11:10:00",1052,8.32,8.36
"2016-12-05 11:15:00",1053,8.48,8.52
"2016-12-05 11:20:00",1054,8.46,8.5
"2016-12-05 11:25:00",1055,8.36,8.4
"2016-12-05 11:30:00",1056,8.62,8.65
"2016-12-05 11:35:00",1057,8.34,8.39
"2016-12-05 11:40:00",1058,8.37,8.41
"2016-12-05 11:45:00",1059,8.53,8.57
"2016-12-05 11:50:00",1060,8.3,8.34
"2016-12-05 11:55:00",1061,8.69,8.72
"2016-12-05 12:00:00",1062,8.46,8.48
"2016-12-05 12:05:00",1063,8.25,8.28
"2016-12-05 12:10:00",1064,8.31,8.35
"2016-12-05 12:15:00",1065,8.61,8.66
"2016-12-05 12:20:00",1066,8.39,8.44
"2016-12-05 12:25:00",1067,8.53,8.57
"2016-12-05 12:30:00",1068,8.35,8.38
"2016-12-05 12:35:00",1069,8.53,8.56
"2016-12-05 12:40:00",1070,8.2,8.24
"2016-12-05 12:45:00",1071,8.18,8.22
"2016-12-05 12:50:00",1072,8.57,8.61
"2016-12-05 12:55:00",1073,8.42,8.45
"2016-12-05 13:00:00",1074,8.15,8.19
"2016-12-05 13:05:00",1075,8.19,8.25
"2016-12-05 13:10:00",1076,8.4,8.44
"2016-12-05 13:15:00",1077,8.11,8.14
"2016-12-05 13:20:00",1078,7.662,7.7
"2016-12-05 13:25:00",1079,7.897,7.94
"2016-12-05 13:30:00",1080,7.74,7.79
"2016-12-05 13:35:00",1081,7.891,7.94
"2016-12-05 13:40:00",1082,8.7,8.73
"2016-12-05 13:45:00",1083,8.67,8.7
"2016-12-05 13:50:00",1084,8.28,8.32
"2016-12-05 13:55:00",1085,8.26,8.3
"2016-12-05 14:00:00",1086,8.15,8.19
"2016-12-05 14:05:00",1087,8.19,8.23
"2016-12-05 14:10:00",1088,8.4,8.43
"2016-12-05 14:15:00",1089,8.37,8.39
"2016-12-05 14:20:00",1090,8.28,8.3
"2016-12-05 14:25:00",1091,8.52,8.58
"2016-12-05 14:30:00",1092,8.55,8.6
"2016-12-05 14:35:00",1093,8.55,8.57
"2016-12-05 14:40:00",1094,8.38,8.4
"2016-12-05 14:45:00",1095,8.44,8.49
"2016-12-05 14:50:00",1096,8.33,8.35
"2016-12-05 14:55:00",1097,8.69,8.73
"2016-12-05 15:00:00",1098,8.46,8.49
